taxonomy,Lon,Lat,BALoccupants,BALoccupantsSTD,BALstructural,BALstructuralSTD,BELoccupants,BELoccupantsSTD,BELstructural,BELstructuralSTD,CHoccupants,CHoccupantsSTD,CHstructural,CHstructuralSTD,EAoccupants,EAoccupantsSTD,EAstructural,EAstructuralSTD,NFoccupants,NFoccupantsSTD,NFstructural,NFstructuralSTD,SToccupants,SToccupantsSTD,STstructural,STstructuralSTD,SFoccupants,SFoccupantsSTD,SFstructural,SFstructuralSTD,SUoccupants,SUoccupantsSTD,SUstructural,SUstructuralSTD,ISKoccupants,ISKoccupantsSTD,ISKstructural,ISKstructuralSTD,ISHAMoccupants,ISHAMoccupantsSTD,ISHAMstructural,ISHAMstructuralSTD
CR+CIP/LWAL+DNO/FC/HBET:8-16,74.5978,42.9352,0.000510642,,36490.3,,0.0129421,,188060.0,,0.055582000000000006,,414131.0,,0.015669899999999997,,204082.0,,0.260825,,1039010.0,,0.10918,,615661.0,,0.041992800000000004,,350336.0,,0.0007827530000000001,,45241.7,,0.223483,,955382.0,,0.221809,,950832.0,
CR+PC/LFLS+DUC/FC/HBET:5-9,74.5978,42.9352,0.00120454,,24383.0,,0.0224826,,103929.0,,0.0843363,,213425.0,,0.0265564,,111775.0,,0.332325,,491390.0,,0.154879,,306884.0,,0.06517869999999999,,182935.0,,0.00176536,,29460.3,,0.292555,,457367.0,,0.290614,,455396.0,
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5978,42.9352,5.59096e-05,,97.5271,,0.000488845,,533.255,,0.00120552,,1065.45,,0.00046330300000000003,,507.024,,0.00403909,,2707.31,,0.00190832,,1520.91,,0.0009102989999999999,,853.9789999999999,,4.362e-05,,81.2882,,0.00299879,,2155.59,,0.00298485,,2147.83,
S/LFM+DNO/FME/HBET:1-25,74.5978,42.9352,0.00010472,,1224.06,,0.00167627,,13267.8,,0.00556598,,35631.9,,0.0019448,,14867.9,,0.0166808,,87500.0,,0.0092985,,54492.3,,0.00441666,,29327.1,,0.00015117,,1671.03,,0.015384899999999998,,82443.4,,0.015306,,82095.7,
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5978,42.9352,0.000656126,,11104.6,,0.0120404,,69712.4,,0.0433907,,154016.0,,0.011580700000000001,,66339.6,,0.292547,,527975.0,,0.0853072,,237547.0,,0.029465699999999997,,119423.0,,0.00046802800000000005,,9105.71,,0.173795,,376787.0,,0.172517,,374934.0,
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5978,42.9352,0.000384293,,3061.95,,0.00382235,,17124.1,,0.0102001,,35120.2,,0.00362748,,16286.4,,0.03924930000000001,,95466.2,,0.0168968,,51121.7,,0.0075278,,27905.5,,0.00029501099999999997,,2547.97,,0.0279784,,74353.6,,0.0278327,,74063.7,
CR+CIP/LDUAL+DNO/FC/HBET:7-25,74.5978,42.9352,0.0031202,,211896.0,,0.0647851,,1060090.0,,0.257083,,2308880.0,,0.07730010000000001,,1148900.0,,1.10051,,5654340.0,,0.486612,,3405320.0,,0.196757,,1957890.0,,0.00464032,,261368.0,,0.9553969999999999,,5221050.0,,0.94865,,5196940.0,
CR+CIP/LFINF+DNO/FC/HBET:3-7,74.5978,42.9352,0.00918657,,152387.0,,0.163248,,652584.0,,0.5962310000000001,,1341950.0,,0.191944,,702062.0,,2.26038,,3059190.0,,1.07925,,1925640.0,,0.462979,,1150310.0,,0.013371899999999999,,184104.0,,2.00218,,2854320.0,,1.9892900000000002,,2842240.0,
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5978,42.9352,1.24377e-07,,279.057,,6.97724e-05,,6959.64,,0.00057319,,26881.2,,6.489270000000001e-05,,6509.7,,0.0109468,,222093.0,,0.00156451,,54503.1,,0.000327789,,18269.6,,2.9424200000000004e-08,,190.955,,0.00428203,,113064.0,,0.00423624,,112174.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5978,42.9352,0.07613439999999999,,234715.0,,1.03587,,1251130.0,,3.2867599999999997,,2695660.0,,1.18977,,1355600.0,,10.424,,5976280.0,,5.54125,,3867260.0,,2.61714,,2297840.0,,0.10681600000000001,,291567.0,,9.46715,,5628730.0,,9.41445,,5606450.0,
MCF+MOC/LWAL+DNO/FC/HBET:1-5,74.6093,42.9341,0.000481185,,3052.99,,0.00725712,,19393.2,,0.025125799999999997,,45516.6,,0.00781946,,20035.2,,0.13861800000000002,,154732.0,,0.0465184,,70591.5,,0.017993400000000003,,35732.9,,0.000321524,,2342.24,,0.08668680000000001,,110395.0,,0.0863428,,110074.0,
CR+CIP/LFINF+DNO/FC/HBET:3-7,74.6093,42.9341,0.00181893,,28412.3,,0.0289242,,112391.0,,0.10696800000000001,,233701.0,,0.0377615,,128034.0,,0.41622200000000004,,545915.0,,0.191769,,334427.0,,0.0855651,,203622.0,,0.00250361,,33079.4,,0.35216,,493655.0,,0.35077800000000003,,492374.0,
UNK,74.6093,42.9341,0.000497058,,4374.55,,0.00572136,,28987.6,,0.0171877,,67669.0,,0.00605896,,29925.7,,0.0757197,,215582.0,,0.0295753,,103537.0,,0.012736399999999998,,53295.5,,0.000344048,,3323.58,,0.0507895,,158049.0,,0.050614,,157618.0,
CR+PC/LFLS+DUC/FC/HBET:5-9,74.6093,42.9341,0.00855278,,163627.0,,0.14338399999999998,,644268.0,,0.545872,,1338370.0,,0.18854500000000002,,733621.0,,2.2100400000000002,,3160940.0,,0.992718,,1919470.0,,0.434775,,1165970.0,,0.011848000000000001,,190492.0,,1.85545,,2849260.0,,1.84795,,2841740.0,
